
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.880]   Just
[00:09:03.880 --> 00:09:05.080]  .
[00:09:05.080 --> 00:09:05.080]   Which
[00:09:05.080 --> 00:09:05.080]   is
[00:09:05.080 --> 00:09:05.080]   another
[00:09:05.080 --> 00:09:05.080]   subject
[00:09:05.080 --> 00:09:05.080]  .
[00:09:05.080 --> 00:09:05.290]   A
[00:09:05.290 --> 00:09:05.640]   back
[00:09:05.640 --> 00:09:05.750]  -
[00:09:05.750 --> 00:09:06.080]  end
[00:09:06.080 --> 00:09:07.340]   application
[00:09:07.340 --> 00:09:07.780]  .
[00:09:07.780 --> 00:09:07.810]   Have
[00:09:07.810 --> 00:09:07.880]   you
[00:09:07.880 --> 00:09:07.970]   ever
[00:09:07.970 --> 00:09:08.060]   been
[00:09:08.060 --> 00:09:08.190]   able
[00:09:08.190 --> 00:09:08.200]   to
[00:09:08.200 --> 00:09:08.230]   do
[00:09:08.230 --> 00:09:08.320]   that
[00:09:08.320 --> 00:09:08.440]  ?
[00:09:08.440 --> 00:09:08.440]   I
[00:09:08.440 --> 00:09:08.460]   mean
[00:09:08.460 --> 00:09:08.470]  .
[00:09:08.470 --> 00:09:08.490]   Yeah
[00:09:08.490 --> 00:09:08.500]  .
[00:09:08.500 --> 00:09:08.520]   I
[00:09:08.520 --> 00:09:08.760]   would
[00:09:08.760 --> 00:09:08.840]   have
[00:09:08.840 --> 00:09:09.080]   thought
[00:09:09.080 --> 00:09:09.480]   that
[00:09:09.480 --> 00:09:09.670]   Pre
[00:09:09.670 --> 00:09:09.790]  zo
[00:09:09.790 --> 00:09:09.980]   for
[00:09:09.980 --> 00:09:10.420]   example
[00:09:10.420 --> 00:09:10.670]   when
[00:09:10.670 --> 00:09:10.720]   the
[00:09:10.720 --> 00:09:11.300]   user
[00:09:11.300 --> 00:09:11.350]   was
[00:09:11.350 --> 00:09:11.610]   using
[00:09:11.610 --> 00:09:11.800]   the
[00:09:11.800 --> 00:09:12.430]   JavaScript
[00:09:12.430 --> 00:09:12.620]   and
[00:09:12.620 --> 00:09:12.740]   it
[00:09:12.740 --> 00:09:13.000]   was
[00:09:13.000 --> 00:09:13.550]   connecting
[00:09:13.550 --> 00:09:13.660]   to
[00:09:13.660 --> 00:09:13.830]   the
[00:09:13.830 --> 00:09:14.320]   server
[00:09:14.320 --> 00:09:14.370]   they
[00:09:14.370 --> 00:09:14.530]   had
[00:09:14.530 --> 00:09:14.580]   a
[00:09:14.580 --> 00:09:15.160]   session
[00:09:15.160 --> 00:09:15.240]  .
[00:09:15.240 --> 00:09:15.430]   Yeah
[00:09:15.430 --> 00:09:15.640]  .
[00:09:15.640 --> 00:09:16.130]   Well
[00:09:16.130 --> 00:09:16.520]   okay
[00:09:16.520 --> 00:09:16.520]  .
[00:09:16.520 --> 00:09:16.870]   Well
[00:09:16.870 --> 00:09:17.040]   of
[00:09:17.040 --> 00:09:17.560]   course
[00:09:17.560 --> 00:09:17.910]   that
[00:09:17.910 --> 00:09:18.170]   was
[00:09:18.170 --> 00:09:18.780]   written
[00:09:18.780 --> 00:09:18.950]   in
[00:09:18.950 --> 00:09:19.610]   2006
[00:09:19.610 --> 00:09:20.040]  .
[00:09:20.040 --> 00:09:20.210]  
[00:09:20.210 --> 00:09:20.430]   Right
[00:09:20.430 --> 00:09:20.570]  ?
[00:09:20.570 --> 00:09:20.700]   So
[00:09:20.700 --> 00:09:20.830]   it
[00:09:20.830 --> 00:09:21.110]   wasn
[00:09:21.110 --> 00:09:21.230]  't
[00:09:21.230 --> 00:09:21.430]  .
[00:09:21.430 --> 00:09:21.830]   That
[00:09:21.830 --> 00:09:21.900]   was
[00:09:21.900 --> 00:09:22.170]   kind
[00:09:22.170 --> 00:09:22.300]   of
[00:09:22.300 --> 00:09:22.700]   before
[00:09:22.700 --> 00:09:22.900]   the
[00:09:22.900 --> 00:09:23.160]   API
[00:09:23.160 --> 00:09:23.730]   became
[00:09:23.730 --> 00:09:24.010]   the
[00:09:24.010 --> 00:09:25.150]   standardized
[00:09:25.150 --> 00:09:25.810]   concept
[00:09:25.810 --> 00:09:26.160]  .
[00:09:26.160 --> 00:09:26.310]   It
[00:09:26.310 --> 00:09:26.610]   was
[00:09:26.610 --> 00:09:27.180]   closer
[00:09:27.180 --> 00:09:27.420]   to
[00:09:27.420 --> 00:09:27.480]   an
[00:09:27.480 --> 00:09:27.830]   R
[00:09:27.830 --> 00:09:28.790]  PC
[00:09:28.790 --> 00:09:30.000]   and
[00:09:30.000 --> 00:09:30.980]   yeah
[00:09:30.980 --> 00:09:31.320]   I
[00:09:31.320 --> 00:09:32.760]   mean
[00:09:32.760 --> 00:09:32.870]   it
[00:09:32.870 --> 00:09:33.030]  .
[00:09:33.030 --> 00:09:33.140]   So
[00:09:33.140 --> 00:09:33.410]   the
[00:09:33.410 --> 00:09:33.460]   it
[00:09:33.460 --> 00:09:33.740]   wasn
[00:09:33.740 --> 00:09:33.900]  't
[00:09:33.900 --> 00:09:34.200]   like
[00:09:34.200 --> 00:09:34.290]   the
[00:09:34.290 --> 00:09:34.760]   API
[00:09:34.760 --> 00:09:35.040]   stood
[00:09:35.040 --> 00:09:35.600]   separately
[00:09:35.600 --> 00:09:35.820]   from
[00:09:35.820 --> 00:09:35.980]   the
[00:09:35.980 --> 00:09:36.140]   app
[00:09:36.140 --> 00:09:36.470]   itself
[00:09:36.470 --> 00:09:36.850]  .
[00:09:36.850 --> 00:09:37.530]   Right
[00:09:37.530 --> 00:09:38.520]  ?
[00:09:38.520 --> 00:09:38.520]   The
[00:09:38.520 --> 00:09:38.520]   Aj
[00:09:38.520 --> 00:09:38.520]  ax
[00:09:38.520 --> 00:09:38.910]   you
[00:09:38.910 --> 00:09:39.430]   know
[00:09:39.430 --> 00:09:39.820]   the
[00:09:39.820 --> 00:09:40.080]   Aj
[00:09:40.080 --> 00:09:40.340]  ax
[00:09:40.340 --> 00:09:41.260]   calls
[00:09:41.260 --> 00:09:41.640]   would
[00:09:41.640 --> 00:09:41.900]   go
[00:09:41.900 --> 00:09:42.150]   to
[00:09:42.150 --> 00:09:42.600]   the
[00:09:42.600 --> 00:09:42.600]   to
[00:09:42.600 --> 00:09:42.600]   the
[00:09:42.600 --> 00:09:42.600]   API
[00:09:42.600 --> 00:09:42.970]   end
[00:09:42.970 --> 00:09:43.710]  points
[00:09:43.710 --> 00:09:44.170]   but
[00:09:44.170 --> 00:09:44.600]   yeah
[00:09:44.600 --> 00:09:45.000]   and
[00:09:45.000 --> 00:09:45.430]   it
[00:09:45.430 --> 00:09:45.670]   knew
[00:09:45.670 --> 00:09:46.280]   about
[00:09:46.280 --> 00:09:46.700]   the
[00:09:46.700 --> 00:09:47.150]   session
[00:09:47.150 --> 00:09:47.330]   but
[00:09:47.330 --> 00:09:47.480]   that
[00:09:47.480 --> 00:09:47.960]   was
[00:09:47.960 --> 00:09:47.960]  
[00:09:47.960 --> 00:09:48.350]   again
[00:09:48.350 --> 00:09:48.510]   it
[00:09:48.510 --> 00:09:48.830]   wasn
[00:09:48.830 --> 00:09:48.980]  't
[00:09:48.980 --> 00:09:49.690]   something
[00:09:49.690 --> 00:09:50.040]   that
[00:09:50.040 --> 00:09:50.280]   sat
[00:09:50.280 --> 00:09:50.680]   separately
[00:09:50.680 --> 00:09:50.760]   that
[00:09:50.760 --> 00:09:50.920]   was
[00:09:50.920 --> 00:09:51.880]   disconnected
[00:09:51.880 --> 00:09:52.120]  .
[00:09:52.120 --> 00:09:52.260]   But
[00:09:52.260 --> 00:09:52.440]   like
[00:09:52.440 --> 00:09:52.630]   how
[00:09:52.630 --> 00:09:52.650]   I
[00:09:52.650 --> 00:09:52.830]   mean
[00:09:52.830 --> 00:09:52.980]   the
[00:09:52.980 --> 00:09:53.240]   thing
[00:09:53.240 --> 00:09:53.510]   about
[00:09:53.510 --> 00:09:53.640]   it
[00:09:53.640 --> 00:09:53.880]   is
[00:09:53.880 --> 00:09:53.960]   with
[00:09:53.960 --> 00:09:54.840]   JavaScript
[00:09:54.840 --> 00:09:55.360]   you
[00:09:55.360 --> 00:09:55.410]   can
[00:09:55.410 --> 00:09:55.610]  't
[00:09:55.610 --> 00:09:56.230]   actually
[00:09:56.230 --> 00:09:56.580]   have
[00:09:56.580 --> 00:09:57.070]   stat
[00:09:57.070 --> 00:09:57.400]  eless
[00:09:57.400 --> 00:09:57.800]   API
[00:09:57.800 --> 00:09:57.830]  .
[00:09:57.830 --> 00:09:57.880]   You
[00:09:57.880 --> 00:09:58.100]   can
[00:09:58.100 --> 00:09:58.180]  't
[00:09:58.180 --> 00:09:58.350]   do
[00:09:58.350 --> 00:09:58.420]   it
[00:09:58.420 --> 00:09:58.830]   without
[00:09:58.830 --> 00:09:59.500]   sessions
[00:09:59.500 --> 00:09:59.790]  .
[00:09:59.790 --> 00:09:59.960]   Because
[00:09:59.960 --> 00:10:00.440]   basically
[00:10:00.440 --> 00:10:00.610]   the
[00:10:00.610 --> 00:10:00.760]   way
[00:10:00.760 --> 00:10:00.920]   an
[00:10:00.920 --> 00:10:01.320]   API
[00:10:01.320 --> 00:10:01.950]   works
[00:10:01.950 --> 00:10:02.590]   is
[00:10:02.590 --> 00:10:02.690]   you
[00:10:02.690 --> 00:10:02.970]   get
[00:10:02.970 --> 00:10:04.490]   credentials
[00:10:04.490 --> 00:10:04.920]   like
[00:10:04.920 --> 00:10:05.400]   validation
[00:10:05.400 --> 00:10:05.910]   credentials
[00:10:05.910 --> 00:10:06.040]  .
[00:10:06.040 --> 00:10:06.260]   At
[00:10:06.260 --> 00:10:06.470]   the
[00:10:06.470 --> 00:10:06.490]   whole
[00:10:06.490 --> 00:10:06.720]   point
[00:10:06.720 --> 00:10:06.960]   about
[00:10:06.960 --> 00:10:07.130]   stat
[00:10:07.130 --> 00:10:07.430]  eless
[00:10:07.430 --> 00:10:07.560]   what
[00:10:07.560 --> 00:10:07.950]   it
[00:10:07.950 --> 00:10:08.920]   means
[00:10:08.920 --> 00:10:09.470]   is
[00:10:09.470 --> 00:10:09.590]   it
[00:10:09.590 --> 00:10:09.840]   doesn
[00:10:09.840 --> 00:10:09.990]  't
[00:10:09.990 --> 00:10:10.300]   mean
[00:10:10.300 --> 00:10:10.740]   that
[00:10:10.740 --> 00:10:10.840]   your
[00:10:10.840 --> 00:10:11.000]   app
[00:10:11.000 --> 00:10:11.230]   doesn
[00:10:11.230 --> 00:10:11.290]  't
[00:10:11.290 --> 00:10:11.460]   have
[00:10:11.460 --> 00:10:11.730]   state
[00:10:11.730 --> 00:10:11.800]   and
[00:10:11.800 --> 00:10:12.010]   doesn
[00:10:12.010 --> 00:10:12.090]  't
[00:10:12.090 --> 00:10:12.260]   know
[00:10:12.260 --> 00:10:12.470]   about
[00:10:12.470 --> 00:10:12.610]   the
[00:10:12.610 --> 00:10:12.840]   user
[00:10:12.840 --> 00:10:13.200]   connecting
[00:10:13.200 --> 00:10:13.310]  .
[00:10:13.310 --> 00:10:13.410]   It
[00:10:13.410 --> 00:10:13.640]   means
[00:10:13.640 --> 00:10:14.440]   that
[00:10:14.440 --> 00:10:14.740]   every
[00:10:14.740 --> 00:10:14.980]   time
[00:10:14.980 --> 00:10:15.150]   you
[00:10:15.150 --> 00:10:15.400]   send
[00:10:15.400 --> 00:10:15.950]   something
[00:10:15.950 --> 00:10:16.220]   that
[00:10:16.220 --> 00:10:16.310]  's
[00:10:16.310 --> 00:10:16.920]   everything
[00:10:16.920 --> 00:10:17.160]   that
[00:10:17.160 --> 00:10:17.280]  's
[00:10:17.280 --> 00:10:17.300]   needed
[00:10:17.300 --> 00:10:17.720]   like
[00:10:17.720 --> 00:10:17.870]  
[00:10:17.870 --> 00:10:17.930]   that
[00:10:17.930 --> 00:10:17.940]  's
[00:10:17.940 --> 00:10:18.350]   everything
[00:10:18.350 --> 00:10:18.460]   that
[00:10:18.460 --> 00:10:18.530]  's
[00:10:18.530 --> 00:10:18.750]   needed
[00:10:18.750 --> 00:10:18.860]   for
[00:10:18.860 --> 00:10:18.940]   a
[00:10:18.940 --> 00:10:19.360]   hands
[00:10:19.360 --> 00:10:19.450]  hake
[00:10:19.450 --> 00:10:20.000]   for
[00:10:20.000 --> 00:10:20.010]   it
[00:10:20.010 --> 00:10:20.170]   to
[00:10:20.170 --> 00:10:20.280]   be
[00:10:20.280 --> 00:10:20.400]   like
[00:10:20.400 --> 00:10:20.440]   a
[00:10:20.440 --> 00:10:20.760]   valid
[00:10:20.760 --> 00:10:21.410]   connection
[00:10:21.410 --> 00:10:21.730]  .
[00:10:21.730 --> 00:10:21.730]   So
[00:10:21.730 --> 00:10:22.090]   you
[00:10:22.090 --> 00:10:22.180]   send
[00:10:22.180 --> 00:10:22.370]   the
[00:10:22.370 --> 00:10:23.080]   credentials
[00:10:23.080 --> 00:10:23.500]   and
[00:10:23.500 --> 00:10:23.560]   then
[00:10:23.560 --> 00:10:23.800]   based
[00:10:23.800 --> 00:10:23.920]   on
[00:10:23.920 --> 00:10:24.150]   the
[00:10:24.150 --> 00:10:24.650]   credentials
[00:10:24.650 --> 00:10:24.820]   the
[00:10:24.820 --> 00:10:25.130]   server
[00:10:25.130 --> 00:10:25.390]   knows
[00:10:25.390 --> 00:10:25.600]   okay
[00:10:25.600 --> 00:10:25.840]   this
[00:10:25.840 --> 00:10:25.910]   is
[00:10:25.910 --> 00:10:26.070]   the
[00:10:26.070 --> 00:10:26.440]   person
[00:10:26.440 --> 00:10:26.530]   who
[00:10:26.530 --> 00:10:26.600]  's
[00:10:26.600 --> 00:10:26.970]   connecting
[00:10:26.970 --> 00:10:27.000]   to
[00:10:27.000 --> 00:10:27.160]   me
[00:10:27.160 --> 00:10:27.280]   now
[00:10:27.280 --> 00:10:27.330]   I
[00:10:27.330 --> 00:10:27.440]   do
[00:10:27.440 --> 00:10:27.770]   stuff
[00:10:27.770 --> 00:10:28.020]   based
[00:10:28.020 --> 00:10:28.160]   on
[00:10:28.160 --> 00:10:28.470]   this
[00:10:28.470 --> 00:10:28.700]   person
[00:10:28.700 --> 00:10:28.880]  .
[00:10:28.880 --> 00:10:28.940]   That
[00:10:28.940 --> 00:10:29.390]  's
[00:10:29.390 --> 00:10:29.510]   the
[00:10:29.510 --> 00:10:29.620]   main
[00:10:29.620 --> 00:10:30.350]   disagreement
[00:10:30.350 --> 00:10:30.430]   we
[00:10:30.430 --> 00:10:30.760]   have
[00:10:30.760 --> 00:10:31.410]   because
[00:10:31.410 --> 00:10:31.700]   what
[00:10:31.700 --> 00:10:31.780]   U
[00:10:31.780 --> 00:10:31.990]  di
[00:10:31.990 --> 00:10:32.550]   wants
[00:10:32.550 --> 00:10:32.550]   to
[00:10:32.550 --> 00:10:32.870]   do
[00:10:32.870 --> 00:10:32.890]   is
[00:10:32.890 --> 00:10:33.230]   send
[00:10:33.230 --> 00:10:33.310]   a
[00:10:33.310 --> 00:10:33.650]   user
[00:10:33.650 --> 00:10:33.880]   id
[00:10:33.880 --> 00:10:33.960]   of
[00:10:33.960 --> 00:10:34.130]   the
[00:10:34.130 --> 00:10:34.440]   person
[00:10:34.440 --> 00:10:34.520]   that
[00:10:34.520 --> 00:10:34.820]   you
[00:10:34.820 --> 00:10:35.210]  're
[00:10:35.210 --> 00:10:36.150]   affecting
[00:10:36.150 --> 00:10:36.290]  .
[00:10:36.290 --> 00:10:36.490]   So
[00:10:36.490 --> 00:10:36.690]   in
[00:10:36.690 --> 00:10:37.460]   other
[00:10:37.460 --> 00:10:37.730]   words
[00:10:37.730 --> 00:10:37.810]   yeah
[00:10:37.810 --> 00:10:37.900]   but
[00:10:37.900 --> 00:10:38.040]   the
[00:10:38.040 --> 00:10:38.380]   problem
[00:10:38.380 --> 00:10:38.470]   is
[00:10:38.470 --> 00:10:38.610]   you
[00:10:38.610 --> 00:10:38.750]   can
[00:10:38.750 --> 00:10:38.840]  't
[00:10:38.840 --> 00:10:38.930]   do
[00:10:38.930 --> 00:10:39.120]   that
[00:10:39.120 --> 00:10:39.210]   in
[00:10:39.210 --> 00:10:39.700]   JavaScript
[00:10:39.700 --> 00:10:40.120]   because
[00:10:40.120 --> 00:10:40.350]   I
[00:10:40.350 --> 00:10:40.870]   could
[00:10:40.870 --> 00:10:41.120]   go
[00:10:41.120 --> 00:10:41.620]   into
[00:10:41.620 --> 00:10:42.260]   the
[00:10:42.260 --> 00:10:42.520]   DOM
[00:10:42.520 --> 00:10:42.760]   and
[00:10:42.760 --> 00:10:42.980]   if
[00:10:42.980 --> 00:10:43.230]   I
[00:10:43.230 --> 00:10:43.320]   was
[00:10:43.320 --> 00:10:43.730]   sending
[00:10:43.730 --> 00:10:43.800]   a
[00:10:43.800 --> 00:10:44.200]   call
[00:10:44.200 --> 00:10:44.200]  
[00:10:44.200 --> 00:10:44.590]   that
[00:10:44.590 --> 00:10:44.880]   was
[00:10:44.880 --> 00:10:45.460]   say
[00:10:45.460 --> 00:10:45.560]   make
[00:10:45.560 --> 00:10:45.950]   this
[00:10:45.950 --> 00:10:46.340]   user
[00:10:46.340 --> 00:10:46.530]   id
[00:10:46.530 --> 00:10:46.720]   an
[00:10:46.720 --> 00:10:48.040]   administrator
[00:10:48.040 --> 00:10:48.280]   if
[00:10:48.280 --> 00:10:49.410]   basically
[00:10:49.410 --> 00:10:49.480]   I
[00:10:49.480 --> 00:10:49.960]   sent
[00:10:49.960 --> 00:10:50.520]   my
[00:10:50.520 --> 00:10:50.680]   user
[00:10:50.680 --> 00:10:50.930]   id
[00:10:50.930 --> 00:10:51.520]   which
[00:10:51.520 --> 00:10:51.840]   is
[00:10:51.840 --> 00:10:51.960]   what
[00:10:51.960 --> 00:10:52.000]   he
[00:10:52.000 --> 00:10:52.050]  's
[00:10:52.050 --> 00:10:52.240]   saying
[00:10:52.240 --> 00:10:52.460]   so
[00:10:52.460 --> 00:10:52.520]   I
[00:10:52.520 --> 00:10:52.760]   sent
[00:10:52.760 --> 00:10:52.950]   my
[00:10:52.950 --> 00:10:53.370]   user
[00:10:53.370 --> 00:10:53.530]   id
[00:10:53.530 --> 00:10:53.820]   via
[00:10:53.820 --> 00:10:54.110]   the
[00:10:54.110 --> 00:10:54.490]   API
[00:10:54.490 --> 00:10:54.520]   I
[00:10:54.520 --> 00:10:54.680]  'm
[00:10:54.680 --> 00:10:54.970]   the
[00:10:54.970 --> 00:10:55.510]   user
[00:10:55.510 --> 00:10:55.650]   and
[00:10:55.650 --> 00:10:55.740]   I
[00:10:55.740 --> 00:10:56.200]   want
[00:10:56.200 --> 00:10:56.360]   the
[00:10:56.360 --> 00:10:56.650]   back
[00:10:56.650 --> 00:10:56.680]   end
[00:10:56.680 --> 00:10:56.800]   to
[00:10:56.800 --> 00:10:57.010]   trust
[00:10:57.010 --> 00:10:57.200]   that
[00:10:57.200 --> 00:10:57.390]   that
[00:10:57.390 --> 00:10:57.480]  's
[00:10:57.480 --> 00:10:57.590]   me
[00:10:57.590 --> 00:10:57.710]  .
[00:10:57.710 --> 00:10:57.880]   Like
[00:10:57.880 --> 00:10:57.940]   you
[00:10:57.940 --> 00:10:58.170]   can
[00:10:58.170 --> 00:10:58.390]  't
[00:10:58.390 --> 00:10:58.560]   really
[00:10:58.560 --> 00:10:58.670]   do
[00:10:58.670 --> 00:10:58.850]   that
[00:10:58.850 --> 00:10:59.000]   you
[00:10:59.000 --> 00:10:59.320]   have
[00:10:59.320 --> 00:10:59.420]   to
[00:10:59.420 --> 00:10:59.590]   do
[00:10:59.590 --> 00:10:59.620]   it
[00:10:59.620 --> 00:10:59.770]   via
[00:10:59.770 --> 00:10:59.820]   a
[00:10:59.820 --> 00:11:00.160]   session
[00:11:00.160 --> 00:11:00.520]   because
[00:11:00.520 --> 00:11:00.550]   I
[00:11:00.550 --> 00:11:00.790]   could
[00:11:00.790 --> 00:11:00.990]   just
[00:11:00.990 --> 00:11:01.170]   hack
[00:11:01.170 --> 00:11:01.400]   it
[00:11:01.400 --> 00:11:01.400]  .
[00:11:01.400 --> 00:11:01.630]   You
[00:11:01.630 --> 00:11:01.970]   can
[00:11:01.970 --> 00:11:02.160]   copy
[00:11:02.160 --> 00:11:02.460]   user
[00:11:02.460 --> 00:11:02.640]   id
[00:11:02.640 --> 00:11:02.840]   and
[00:11:02.840 --> 00:11:03.370]   session
[00:11:03.370 --> 00:11:03.520]   id
[00:11:03.520 --> 00:11:03.750]   the
[00:11:03.750 --> 00:11:04.050]   same
[00:11:04.050 --> 00:11:04.280]   way
[00:11:04.280 --> 00:11:04.510]   you
[00:11:04.510 --> 00:11:04.740]   can
[00:11:04.740 --> 00:11:05.080]   make
[00:11:05.080 --> 00:11:05.330]   the
[00:11:05.330 --> 00:11:05.670]   same
[00:11:05.670 --> 00:11:06.010]   call
[00:11:06.010 --> 00:11:06.350]   with
[00:11:06.350 --> 00:11:06.600]   the
[00:11:06.600 --> 00:11:07.210]   session
[00:11:07.210 --> 00:11:07.370]   id
[00:11:07.370 --> 00:11:07.710]   that
[00:11:07.710 --> 00:11:07.870]   we
[00:11:07.870 --> 00:11:08.220]   have
[00:11:08.220 --> 00:11:08.510]   now
[00:11:08.510 --> 00:11:08.520]   and
[00:11:08.520 --> 00:11:08.520]   you
[00:11:08.520 --> 00:11:08.520]  'll
[00:11:08.520 --> 00:11:08.860]   have
[00:11:08.860 --> 00:11:08.990]   the
[00:11:08.990 --> 00:11:09.260]   same
[00:11:09.260 --> 00:11:09.660]   result
[00:11:09.660 --> 00:11:09.990]  .
[00:11:09.990 --> 00:11:10.000]   It
[00:11:10.000 --> 00:11:10.120]  's
[00:11:10.120 --> 00:11:10.460]   still
[00:11:10.460 --> 00:11:10.850]   hack
[00:11:10.850 --> 00:11:11.000]  able
[00:11:11.000 --> 00:11:11.220]  .
[00:11:11.220 --> 00:11:11.440]   But
[00:11:11.440 --> 00:11:11.680]   much
[00:11:11.680 --> 00:11:11.800]   less
[00:11:11.800 --> 00:11:11.960]   hack
[00:11:11.960 --> 00:11:12.120]  able
[00:11:12.120 --> 00:11:12.150]  .
[00:11:12.150 --> 00:11:12.170]   It
[00:11:12.170 --> 00:11:12.200]  's
[00:11:12.200 --> 00:11:12.200]  
[00:11:12.200 --> 00:11:12.420]   much
[00:11:12.420 --> 00:11:12.750]   easier
[00:11:12.750 --> 00:11:12.860]   to
[00:11:12.860 --> 00:11:12.970]   go
[00:11:12.970 --> 00:11:13.230]   into
[00:11:13.230 --> 00:11:13.350]   the
[00:11:13.350 --> 00:11:13.500]   DOM
[00:11:13.500 --> 00:11:13.670]   and
[00:11:13.670 --> 00:11:14.040]   change
[00:11:14.040 --> 00:11:14.040]   the
[00:11:14.040 --> 00:11:14.200]   the
[00:11:14.200 --> 00:11:14.450]   user
[00:11:14.450 --> 00:11:14.510]   id
[00:11:14.510 --> 00:11:14.720]   that
[00:11:14.720 --> 00:11:14.820]  's
[00:11:14.820 --> 00:11:15.150]   being
[00:11:15.150 --> 00:11:15.290]   sent
[00:11:15.290 --> 00:11:15.480]  .
[00:11:15.480 --> 00:11:15.620]   What
[00:11:15.620 --> 00:11:15.790]   about
[00:11:15.790 --> 00:11:15.930]   just
[00:11:15.930 --> 00:11:16.100]   using
[00:11:16.100 --> 00:11:16.130]   a
[00:11:16.130 --> 00:11:16.300]   token
[00:11:16.300 --> 00:11:16.400]  ?
[00:11:16.400 --> 00:11:16.430]   I
[00:11:16.430 --> 00:11:16.600]   mean
[00:11:16.600 --> 00:11:16.760]   that
[00:11:16.760 --> 00:11:16.840]  's
[00:11:16.840 --> 00:11:17.220]   usually
[00:11:17.220 --> 00:11:17.560]   solved
[00:11:17.560 --> 00:11:17.770]   with
[00:11:17.770 --> 00:11:18.150]   sending
[00:11:18.150 --> 00:11:18.200]   a
[00:11:18.200 --> 00:11:18.420]   user
[00:11:18.420 --> 00:11:18.690]   token
[00:11:18.690 --> 00:11:19.000]   right
[00:11:19.000 --> 00:11:19.000]  ?
[00:11:19.000 --> 00:11:19.260]   Well
[00:11:19.260 --> 00:11:19.520]   that
[00:11:19.520 --> 00:11:19.660]  's
[00:11:19.660 --> 00:11:19.850]   the
[00:11:19.850 --> 00:11:20.100]   same
[00:11:20.100 --> 00:11:20.250]   as
[00:11:20.250 --> 00:11:20.270]   a
[00:11:20.270 --> 00:11:21.000]   session
[00:11:21.000 --> 00:11:21.050]  .
[00:11:21.050 --> 00:11:21.420]   Yeah
[00:11:21.420 --> 00:11:21.730]   but
[00:11:21.730 --> 00:11:22.040]   you
[00:11:22.040 --> 00:11:22.450]   just
[00:11:22.450 --> 00:11:22.510]   can
[00:11:22.510 --> 00:11:23.590]   send
[00:11:23.590 --> 00:11:23.640]   that
[00:11:23.640 --> 00:11:23.640]  .
[00:11:23.640 --> 00:11:23.760]   I
[00:11:23.760 --> 00:11:24.250]   mean
[00:11:24.250 --> 00:11:24.740]   that
[00:11:24.740 --> 00:11:24.980]  's
[00:11:24.980 --> 00:11:25.470]   what
[00:11:25.470 --> 00:11:26.340]   session
[00:11:26.340 --> 00:11:26.560]   is
[00:11:26.560 --> 00:11:26.990]  .
[00:11:26.990 --> 00:11:27.010]   The
[00:11:27.010 --> 00:11:27.030]   other
[00:11:27.030 --> 00:11:27.050]   thing
[00:11:27.050 --> 00:11:27.080]   though
[00:11:27.080 --> 00:11:27.080]   is
[00:11:27.080 --> 00:11:27.390]   the
[00:11:27.390 --> 00:11:27.700]   way
[00:11:27.700 --> 00:11:28.220]   that
[00:11:28.220 --> 00:11:28.220]   I
[00:11:28.220 --> 00:11:28.560]   do
[00:11:28.560 --> 00:11:28.850]   it
[00:11:28.850 --> 00:11:28.950]   the
[00:11:28.950 --> 00:11:29.260]   way
[00:11:29.260 --> 00:11:29.360]   I
[00:11:29.360 --> 00:11:29.890]   built
[00:11:29.890 --> 00:11:30.240]   the
[00:11:30.240 --> 00:11:30.680]   API
[00:11:30.680 --> 00:11:30.740]   so
[00:11:30.740 --> 00:11:30.800]   for
[00:11:30.800 --> 00:11:30.950]   the
[00:11:30.950 --> 00:11:31.040]   Cat
[00:11:31.040 --> 00:11:31.260]  alyst
[00:11:31.260 --> 00:11:31.640]   API
[00:11:31.640 --> 00:11:32.140]   is
[00:11:32.140 --> 00:11:32.900]   you
[00:11:32.900 --> 00:11:33.910]   prep
[00:11:33.910 --> 00:11:34.700]  end
[00:11:34.700 --> 00:11:35.640]   the
[00:11:35.640 --> 00:11:36.940]   user
[00:11:36.940 --> 00:11:37.920]   name
[00:11:37.920 --> 00:11:39.000]   password
[00:11:39.000 --> 00:11:39.170]  
[00:11:39.170 --> 00:11:40.570]   through
[00:11:40.570 --> 00:11:41.080]   the
[00:11:41.080 --> 00:11:42.120]   calls
[00:11:42.120 --> 00:11:42.760]  .
[00:11:42.760 --> 00:11:42.760]   Yeah
[00:11:42.760 --> 00:11:42.760]   that
[00:11:42.760 --> 00:11:42.760]  's
[00:11:42.760 --> 00:11:42.760]   the
[00:11:42.760 --> 00:11:42.760]   HTTP
[00:11:42.760 --> 00:11:42.760]   authentication
[00:11:42.760 --> 00:11:42.760]  .
[00:11:42.760 --> 00:11:42.810]   I
[00:11:42.810 --> 00:11:43.010]   use
[00:11:43.010 --> 00:11:43.260]   HTTP
[00:11:43.260 --> 00:11:43.570]   basic
[00:11:43.570 --> 00:11:43.820]   HTTP
[00:11:43.820 --> 00:11:44.750]   authentication
[00:11:44.750 --> 00:11:44.880]  .
[00:11:44.880 --> 00:11:45.130]   That
[00:11:45.130 --> 00:11:45.250]  's
[00:11:45.250 --> 00:11:45.440]   how
[00:11:45.440 --> 00:11:45.650]   you
[00:11:45.650 --> 00:11:45.750]   do
[00:11:45.750 --> 00:11:45.950]   it
[00:11:45.950 --> 00:11:46.120]   for
