
[00:00:00.000 --> 00:00:00.800]  
[00:00:00.800 --> 00:00:00.880]   Jo
[00:25:49.890 --> 00:25:50.150]   rare
[00:25:50.150 --> 00:25:50.280]   to
[00:25:50.280 --> 00:25:50.340]   I
[00:25:50.340 --> 00:25:50.600]   mean
[00:25:50.600 --> 00:25:50.660]   I
[00:25:50.660 --> 00:25:50.790]  'm
[00:25:50.790 --> 00:25:50.850]   I
[00:25:50.850 --> 00:25:50.990]  'm
[00:25:50.990 --> 00:25:51.510]   thinking
[00:25:51.510 --> 00:25:51.840]   about
[00:25:51.840 --> 00:25:51.970]   it
[00:25:51.970 --> 00:25:52.170]   and
[00:25:52.170 --> 00:25:52.230]   I
[00:25:52.230 --> 00:25:52.360]  'm
[00:25:52.360 --> 00:25:52.890]   thinking
[00:25:52.890 --> 00:25:53.050]   about
[00:25:53.050 --> 00:25:53.480]   like
[00:25:53.480 --> 00:25:53.680]   all
[00:25:53.680 --> 00:25:54.100]   the
[00:25:54.100 --> 00:25:54.470]   different
[00:25:54.470 --> 00:25:54.820]   jobs
[00:25:54.820 --> 00:25:54.990]   that
[00:25:54.990 --> 00:25:55.120]   I
[00:25:55.120 --> 00:25:55.240]  've
[00:25:55.240 --> 00:25:55.500]   been
[00:25:55.500 --> 00:25:55.630]   at
[00:25:55.630 --> 00:25:55.830]   all
[00:25:55.830 --> 00:25:56.030]   the
[00:25:56.030 --> 00:25:56.620]   different
[00:25:56.620 --> 00:25:57.080]   program
[00:25:57.080 --> 00:25:57.300]  ing
[00:25:57.300 --> 00:25:57.400]   up
[00:25:57.400 --> 00:25:58.130]   programmers
[00:25:58.130 --> 00:25:58.420]   that
[00:25:58.420 --> 00:25:58.440]   I
[00:25:58.440 --> 00:25:58.770]  've
[00:25:58.770 --> 00:25:58.900]   seen
[00:25:58.900 --> 00:25:59.160]   in
[00:25:59.160 --> 00:25:59.160]   in
[00:25:59.160 --> 00:25:59.390]   a
[00:25:59.390 --> 00:25:59.680]   company
[00:25:59.680 --> 00:26:00.140]   setting
[00:26:00.140 --> 00:26:00.170]   and
[00:26:00.170 --> 00:26:00.470]   um
[00:26:00.470 --> 00:26:00.890]   you
[00:26:00.890 --> 00:26:00.930]   know
[00:26:00.930 --> 00:26:01.060]   to
[00:26:01.060 --> 00:26:01.400]   for
[00:26:01.400 --> 00:26:01.650]   people
[00:26:01.650 --> 00:26:01.790]   to
[00:26:01.790 --> 00:26:01.930]   be
[00:26:01.930 --> 00:26:02.040]   in
[00:26:02.040 --> 00:26:02.240]   the
[00:26:02.240 --> 00:26:02.500]   zone
[00:26:02.500 --> 00:26:02.700]   for
[00:26:02.700 --> 00:26:02.950]   like
[00:26:02.950 --> 00:26:03.550]   four
[00:26:03.550 --> 00:26:03.620]   hours
[00:26:03.620 --> 00:26:03.810]   plus
[00:26:03.810 --> 00:26:03.870]   I
[00:26:03.870 --> 00:26:04.330]   think
[00:26:04.330 --> 00:26:04.400]   is
[00:26:04.400 --> 00:26:04.590]   rare
[00:26:04.590 --> 00:26:04.780]  .
[00:26:04.780 --> 00:26:05.040]   That
[00:26:05.040 --> 00:26:05.170]  's
[00:26:05.170 --> 00:26:05.430]   just
[00:26:05.430 --> 00:26:05.740]   that
[00:26:05.740 --> 00:26:05.820]  's
[00:26:05.820 --> 00:26:06.210]   just
[00:26:06.210 --> 00:26:06.360]   my
[00:26:06.360 --> 00:26:06.670]   opinion
[00:26:06.670 --> 00:26:07.780]  . [SPEAKER_TURN]
[00:26:08.020 --> 00:26:08.130]  
[00:26:08.130 --> 00:26:08.240]   Yeah
[00:26:08.240 --> 00:26:08.460]   yeah
[00:26:08.460 --> 00:26:08.570]  ,
[00:26:08.570 --> 00:26:08.860]   yeah
[00:26:08.860 --> 00:26:09.010]   well
[00:26:09.010 --> 00:26:09.120]  ,
[00:26:09.120 --> 00:26:09.330]   isn
[00:26:09.330 --> 00:26:09.390]  't
[00:26:09.390 --> 00:26:09.540]   it
[00:26:09.540 --> 00:26:09.540]   a
[00:26:09.540 --> 00:26:09.820]   thing
[00:26:09.820 --> 00:26:10.040]   that
[00:26:10.040 --> 00:26:10.430]   happens
[00:26:10.430 --> 00:26:10.540]   is
[00:26:10.540 --> 00:26:10.570]   that
[00:26:10.570 --> 00:26:11.140]   when
[00:26:11.140 --> 00:26:11.170]   you
[00:26:11.170 --> 00:26:11.300]   get
[00:26:11.300 --> 00:26:11.550]   into
[00:26:11.550 --> 00:26:11.590]   a
[00:26:11.590 --> 00:26:11.910]   bigger
[00:26:11.910 --> 00:26:12.230]   group
[00:26:12.230 --> 00:26:12.280]  ,
[00:26:12.280 --> 00:26:12.390]   it
[00:26:12.390 --> 00:26:12.660]   there
[00:26:12.660 --> 00:26:12.770]  's
[00:26:12.770 --> 00:26:12.820]   a
[00:26:12.820 --> 00:26:12.980]   lot
[00:26:12.980 --> 00:26:13.090]   of
[00:26:13.090 --> 00:26:13.200]   um
[00:26:13.200 --> 00:26:13.310]   it
[00:26:13.310 --> 00:26:13.420]  's
[00:26:13.420 --> 00:26:13.640]   what
[00:26:13.640 --> 00:26:13.690]   I
[00:26:13.690 --> 00:26:13.740]   c
[00:26:13.740 --> 00:26:14.000]   call
[00:26:14.000 --> 00:26:14.190]   it
[00:26:14.190 --> 00:26:14.290]   over
[00:26:14.290 --> 00:26:14.770]   the
[00:26:14.770 --> 00:26:14.820]   GitHub
[00:26:14.820 --> 00:26:15.420]   bureaucracy
[00:26:15.420 --> 00:26:15.550]  .
[00:26:15.550 --> 00:26:15.710]   You
[00:26:15.710 --> 00:26:15.930]   know
[00:26:15.930 --> 00:26:16.070]  ,
[00:26:16.070 --> 00:26:16.310]   there
[00:26:16.310 --> 00:26:16.530]  's
[00:26:16.530 --> 00:26:16.530]   so
[00:26:16.530 --> 00:26:16.920]   much
[00:26:16.920 --> 00:26:16.970]   like
[00:26:16.970 --> 00:26:17.080]   we
[00:26:17.080 --> 00:26:17.400]  'll
[00:26:17.400 --> 00:26:17.460]   have
[00:26:17.460 --> 00:26:17.680]   this
[00:26:17.680 --> 00:26:18.010]   branch
[00:26:18.010 --> 00:26:18.170]   and
[00:26:18.170 --> 00:26:18.220]   a
[00:26:18.220 --> 00:26:18.410]   reb
[00:26:18.410 --> 00:26:18.540]  ase
[00:26:18.540 --> 00:26:18.650]   on
[00:26:18.650 --> 00:26:18.870]   this
[00:26:18.870 --> 00:26:18.980]   do
[00:26:18.980 --> 00:26:19.190]   that
[00:26:19.190 --> 00:26:19.360]   and
[00:26:19.360 --> 00:26:19.440]   I
[00:26:19.440 --> 00:26:19.520]  'm
[00:26:19.520 --> 00:26:19.740]   just
[00:26:19.740 --> 00:26:19.960]   like
[00:26:19.960 --> 00:26:20.070]   ah
[00:26:20.070 --> 00:26:20.180]  ,
[00:26:20.180 --> 00:26:20.340]   can
[00:26:20.340 --> 00:26:20.450]   it
[00:26:20.450 --> 00:26:20.610]   and
[00:26:20.610 --> 00:26:20.720]   it
[00:26:20.720 --> 00:26:20.830]  's
[00:26:20.830 --> 00:26:21.050]   like
[00:26:21.050 --> 00:26:21.210]   are
[00:26:21.210 --> 00:26:21.320]   we
[00:26:21.320 --> 00:26:21.810]   writing
[00:26:21.810 --> 00:26:21.930]   code
[00:26:21.930 --> 00:26:22.040]   or
[00:26:22.040 --> 00:26:22.200]   are
[00:26:22.200 --> 00:26:22.310]   we
[00:26:22.310 --> 00:26:22.580]   doing
[00:26:22.580 --> 00:26:22.780]   all
[00:26:22.780 --> 00:26:22.900]   day
[00:26:22.900 --> 00:26:23.010]   is
[00:26:23.010 --> 00:26:23.170]   reb
[00:26:23.170 --> 00:26:23.440]  asing
[00:26:23.440 --> 00:26:23.600]   and
[00:26:23.600 --> 00:26:23.710]   re
[00:26:23.710 --> 00:26:23.870]   and
[00:26:23.870 --> 00:26:24.290]   removing
[00:26:24.290 --> 00:26:24.840]   conflicts
[00:26:24.840 --> 00:26:25.150]   and
[00:26:25.150 --> 00:26:25.240]   stuff
[00:26:25.240 --> 00:26:25.350]  ,
[00:26:25.350 --> 00:26:25.510]   you
[00:26:25.510 --> 00:26:25.730]   know
[00:26:25.730 --> 00:26:26.040]   which
[00:26:26.040 --> 00:26:26.110]  ,
[00:26:26.110 --> 00:26:26.330]   just
[00:26:26.330 --> 00:26:26.720]   happens
[00:26:26.720 --> 00:26:26.970]   because
[00:26:26.970 --> 00:26:27.540]   every
[00:26:27.540 --> 00:26:27.630]   you
[00:26:27.630 --> 00:26:27.760]   know
[00:26:27.760 --> 00:26:27.870]  ,
[00:26:27.870 --> 00:26:27.980]   it
[00:26:27.980 --> 00:26:28.090]  's
[00:26:28.090 --> 00:26:28.300]   like
[00:26:28.300 --> 00:26:28.420]   it
[00:26:28.420 --> 00:26:28.530]  's
[00:26:28.530 --> 00:26:28.580]   a
[00:26:28.580 --> 00:26:28.920]   little
[00:26:28.920 --> 00:26:29.070]   bit
[00:26:29.070 --> 00:26:29.750]   frustrating
[00:26:29.750 --> 00:26:29.790]   it
[00:26:29.790 --> 00:26:29.900]  's
[00:26:29.900 --> 00:26:30.010]  ,
[00:26:30.010 --> 00:26:30.260]   like
[00:26:30.260 --> 00:26:30.460]   the
[00:26:30.460 --> 00:26:30.780]   promise
[00:26:30.780 --> 00:26:30.920]   of
[00:26:30.920 --> 00:26:31.220]   things
[00:26:31.220 --> 00:26:31.440]   like
[00:26:31.440 --> 00:26:31.770]   GitHub
[00:26:31.770 --> 00:26:31.880]   is
[00:26:31.880 --> 00:26:32.100]   like
[00:26:32.100 --> 00:26:32.320]   well
[00:26:32.320 --> 00:26:32.820]   everybody
[00:26:32.820 --> 00:26:32.980]   can
[00:26:32.980 --> 00:26:33.200]   work
[00:26:33.200 --> 00:26:33.310]   on
[00:26:33.310 --> 00:26:33.750]   anything
[00:26:33.750 --> 00:26:33.910]   and
[00:26:33.910 --> 00:26:34.020]   we
[00:26:34.020 --> 00:26:34.270]   just
[00:26:34.270 --> 00:26:34.510]   merge
[00:26:34.510 --> 00:26:34.620]   it
[00:26:34.620 --> 00:26:34.780]   all
[00:26:34.780 --> 00:26:34.850]   together
[00:26:34.850 --> 00:26:35.540]  .
[00:26:35.540 --> 00:26:35.640]   Yes
[00:26:35.640 --> 00:26:35.700]   and
[00:26:35.700 --> 00:26:35.810]   no
[00:26:35.810 --> 00:26:35.920]  ,
[00:26:35.920 --> 00:26:36.140]   like
[00:26:36.140 --> 00:26:36.250]   if
[00:26:36.250 --> 00:26:36.360]   we
[00:26:36.360 --> 00:26:36.830]   really
[00:26:36.830 --> 00:26:36.850]   are
[00:26:36.850 --> 00:26:37.240]   working
[00:26:37.240 --> 00:26:38.020]   on
[00:26:38.020 --> 00:26:38.020]  
[00:26:38.020 --> 00:26:38.330]   same
[00:26:38.330 --> 00:26:38.700]   stuff
[00:26:38.700 --> 00:26:38.790]  ,
[00:26:38.790 --> 00:26:38.920]   we
[00:26:38.920 --> 00:26:39.120]  're
[00:26:39.120 --> 00:26:39.880]   constantly
[00:26:39.880 --> 00:26:40.170]   gonna
[00:26:40.170 --> 00:26:40.770]   have
[00:26:40.770 --> 00:26:41.130]   conflicts
[00:26:41.130 --> 00:26:41.290]   and
[00:26:41.290 --> 00:26:41.430]   it
[00:26:41.430 --> 00:26:41.560]  's
[00:26:41.560 --> 00:26:41.910]   gonna
[00:26:41.910 --> 00:26:42.190]   take
[00:26:42.190 --> 00:26:42.260]   a
[00:26:42.260 --> 00:26:42.470]   ton
[00:26:42.470 --> 00:26:42.610]   of
[00:26:42.610 --> 00:26:43.030]   time
[00:26:43.030 --> 00:26:43.030]   to
[00:26:43.030 --> 00:26:43.460]   sort
[00:26:43.460 --> 00:26:43.520]   out
[00:26:43.520 --> 00:26:43.800]   what
[00:26:43.800 --> 00:26:43.980]   we
[00:26:43.980 --> 00:26:44.220]   each
[00:26:44.220 --> 00:26:44.360]   of
[00:26:44.360 --> 00:26:44.500]   us
[00:26:44.500 --> 00:26:44.710]   did
[00:26:44.710 --> 00:26:44.920]   and
[00:26:44.920 --> 00:26:45.120]   how
[00:26:45.120 --> 00:26:45.270]   it
[00:26:45.270 --> 00:26:45.960]   impacts
[00:26:45.960 --> 00:26:45.970]   the
[00:26:45.970 --> 00:26:46.320]   other
[00:26:46.320 --> 00:26:46.540]   one
[00:26:46.540 --> 00:26:46.870]  ,
[00:26:46.870 --> 00:26:47.010]   right
[00:26:47.010 --> 00:26:47.130]  .
[00:26:47.130 --> 00:26:47.380]   So
[00:26:47.380 --> 00:26:47.680]   you
[00:26:47.680 --> 00:26:47.700]   you
[00:26:47.700 --> 00:26:48.020]   almost
[00:26:48.020 --> 00:26:48.290]   kinda
[00:26:48.290 --> 00:26:48.540]   wanna
[00:26:48.540 --> 00:26:48.750]   have
[00:26:48.750 --> 00:26:49.160]   people
[00:26:49.160 --> 00:26:49.280]   work
[00:26:49.280 --> 00:26:49.380]   on
[00:26:49.380 --> 00:26:49.820]   slightly
[00:26:49.820 --> 00:26:50.290]   different
[00:26:50.290 --> 00:26:50.560]   parts
[00:26:50.560 --> 00:26:50.650]   of
[00:26:50.650 --> 00:26:50.810]   the
[00:26:50.810 --> 00:26:51.130]   system
[00:26:51.130 --> 00:26:51.250]  ,
[00:26:51.250 --> 00:26:51.390]   you
[00:26:51.390 --> 00:26:51.600]   know
[00:26:51.600 --> 00:26:51.750]  .
[00:26:51.750 --> 00:26:51.810]   I
[00:26:51.810 --> 00:26:52.010]   mean
[00:26:52.010 --> 00:26:52.180]   I
[00:26:52.180 --> 00:26:52.280]   know
[00:26:52.280 --> 00:26:52.600]   people
[00:26:52.600 --> 00:26:52.760]   don
[00:26:52.760 --> 00:26:52.860]  't
[00:26:52.860 --> 00:26:53.070]   like
[00:26:53.070 --> 00:26:53.270]   to
[00:26:53.270 --> 00:26:53.430]   think
[00:26:53.430 --> 00:26:53.640]   that
[00:26:53.640 --> 00:26:53.800]   way
[00:26:53.800 --> 00:26:53.960]  .
[00:26:53.960 --> 00:26:54.060]   It
[00:26:54.060 --> 00:26:54.160]  's
[00:26:54.160 --> 00:26:54.370]   like
[00:26:54.370 --> 00:26:54.470]   oh
[00:26:54.470 --> 00:26:54.560]  ,
[00:26:54.560 --> 00:26:54.780]   well
[00:26:54.780 --> 00:26:54.860]   you
[00:26:54.860 --> 00:26:55.250]   know
[00:26:55.250 --> 00:26:55.300]  ,
[00:26:55.300 --> 00:26:55.570]   GitHub
[00:26:55.570 --> 00:26:55.670]   is
[00:26:55.670 --> 00:26:56.180]   awesome
[00:26:56.180 --> 00:26:56.200]   and
[00:26:56.200 --> 00:26:56.360]   you
[00:26:56.360 --> 00:26:56.570]   know
[00:26:56.570 --> 00:26:56.730]   you
[00:26:56.730 --> 00:26:56.830]  ,
[00:26:56.830 --> 00:26:56.930]   gr
[00:26:56.930 --> 00:26:57.090]   you
[00:26:57.090 --> 00:26:57.320]   know
[00:26:57.320 --> 00:26:57.400]  ,
[00:26:57.400 --> 00:26:57.660]   write
[00:26:57.660 --> 00:26:57.710]   a
[00:26:57.710 --> 00:26:57.760]   d
[00:26:57.760 --> 00:26:57.850]  if
[00:26:57.850 --> 00:26:57.960]   on
[00:26:57.960 --> 00:26:58.060]   it
[00:26:58.060 --> 00:26:58.250]   and
[00:26:58.250 --> 00:26:58.380]   see
[00:26:58.380 --> 00:26:58.540]   all
[00:26:58.540 --> 00:26:58.780]   this
[00:26:58.780 --> 00:26:59.020]   stuff
[00:26:59.020 --> 00:26:59.170]  .
[00:26:59.170 --> 00:26:59.270]   It
[00:26:59.270 --> 00:26:59.370]  's
[00:26:59.370 --> 00:26:59.580]   like
[00:26:59.580 --> 00:26:59.790]   yeah
[00:26:59.790 --> 00:26:59.950]   but
[00:26:59.950 --> 00:26:59.960]   then
[00:26:59.960 --> 00:27:00.320]   you
[00:27:00.320 --> 00:27:00.650]   spend
[00:27:00.650 --> 00:27:00.860]   all
[00:27:00.860 --> 00:27:00.980]   your
[00:27:00.980 --> 00:27:01.160]   time
[00:27:01.160 --> 00:27:01.210]   d
[00:27:01.210 --> 00:27:01.530]  icking
[00:27:01.530 --> 00:27:01.850]   around
[00:27:01.850 --> 00:27:02.110]   with
[00:27:02.110 --> 00:27:02.270]   like
[00:27:02.270 --> 00:27:02.430]   the
[00:27:02.430 --> 00:27:02.530]  ,
[00:27:02.530 --> 00:27:02.690]   you
[00:27:02.690 --> 00:27:02.940]   know
[00:27:02.940 --> 00:27:03.000]  ,
[00:27:03.000 --> 00:27:03.400]   sorting
[00:27:03.400 --> 00:27:03.530]   out
[00:27:03.530 --> 00:27:03.690]   the
[00:27:03.690 --> 00:27:04.130]   merge
[00:27:04.130 --> 00:27:04.470]   conflicts
[00:27:04.470 --> 00:27:04.590]   and
[00:27:04.590 --> 00:27:04.750]   and
[00:27:04.750 --> 00:27:04.800]   I
[00:27:04.800 --> 00:27:05.060]   dunno
[00:27:05.060 --> 00:27:05.230]  .
[00:27:05.230 --> 00:27:05.270]   I
[00:27:05.270 --> 00:27:05.480]   just
[00:27:05.480 --> 00:27:05.690]   find
[00:27:05.690 --> 00:27:05.760]   that
[00:27:05.760 --> 00:27:06.010]   stuff
[00:27:06.010 --> 00:27:06.360]   to
[00:27:06.360 --> 00:27:06.420]   be
[00:27:06.420 --> 00:27:06.600]   kind
[00:27:06.600 --> 00:27:06.670]   of
[00:27:06.670 --> 00:27:06.770]   uh
[00:27:06.770 --> 00:27:06.820]   a
[00:27:06.820 --> 00:27:07.030]   pain
[00:27:07.030 --> 00:27:07.740]  .
[00:27:07.740 --> 00:27:07.870]   But
[00:27:07.870 --> 00:27:08.020]   that
[00:27:08.020 --> 00:27:08.020]  's
[00:27:08.020 --> 00:27:08.020]  
[00:27:08.020 --> 00:27:08.230]   also
[00:27:08.230 --> 00:27:08.330]   my
[00:27:08.330 --> 00:27:08.920]   personality
[00:27:08.920 --> 00:27:09.080]   you
[00:27:09.080 --> 00:27:09.180]  ,
[00:27:09.180 --> 00:27:09.390]   know
[00:27:09.390 --> 00:27:09.440]   I
[00:27:09.440 --> 00:27:09.540]  'm
[00:27:09.540 --> 00:27:09.640]  ,
[00:27:09.640 --> 00:27:09.690]   I
[00:27:09.690 --> 00:27:09.790]  'm
[00:27:09.790 --> 00:27:09.840]   a
[00:27:09.840 --> 00:27:10.050]   lone
[00:27:10.050 --> 00:27:10.260]   wolf
[00:27:10.260 --> 00:27:10.360]   so
[00:27:10.360 --> 00:27:10.460]  ,
[00:27:10.460 --> 00:27:10.880]   whenever
[00:27:10.880 --> 00:27:10.930]   I
[00:27:10.930 --> 00:27:11.240]   have
[00:27:11.240 --> 00:27:11.240]   to
[00:27:11.240 --> 00:27:11.660]   deal
[00:27:11.660 --> 00:27:11.690]   with
[00:27:11.690 --> 00:27:11.920]   large
[00:27:11.920 --> 00:27:12.240]   groups
[00:27:12.240 --> 00:27:12.410]   of
[00:27:12.410 --> 00:27:12.660]   people
[00:27:12.660 --> 00:27:13.190]   all
[00:27:13.190 --> 00:27:13.190]   working
[00:27:13.190 --> 00:27:13.450]   on
[00:27:13.450 --> 00:27:13.460]   the
[00:27:13.460 --> 00:27:13.660]   same
[00:27:13.660 --> 00:27:13.870]   code
[00:27:13.870 --> 00:27:14.080]   base
[00:27:14.080 --> 00:27:14.180]   it
[00:27:14.180 --> 00:27:14.390]   just
[00:27:14.390 --> 00:27:14.600]   sort
[00:27:14.600 --> 00:27:14.700]   of
[00:27:14.700 --> 00:27:15.030]   drives
[00:27:15.030 --> 00:27:15.120]   me
[00:27:15.120 --> 00:27:15.430]   insane
[00:27:15.430 --> 00:27:15.830]  .
[00:27:15.830 --> 00:27:15.910]   And
[00:27:15.910 --> 00:27:16.050]   so
[00:27:16.050 --> 00:27:16.180]   uh
[00:27:16.180 --> 00:27:16.380]   but
[00:27:16.380 --> 00:27:16.480]   that
[00:27:16.480 --> 00:27:16.660]   well
[00:27:16.660 --> 00:27:16.750]  ,
[00:27:16.750 --> 00:27:17.090]   neither
[00:27:17.090 --> 00:27:17.240]   way
[00:27:17.240 --> 00:27:17.320]   it
[00:27:17.320 --> 00:27:17.510]   eats
[00:27:17.510 --> 00:27:17.600]   up
[00:27:17.600 --> 00:27:17.650]   a
[00:27:17.650 --> 00:27:17.790]   lot
[00:27:17.790 --> 00:27:17.880]   of
[00:27:17.880 --> 00:27:18.070]   time
[00:27:18.070 --> 00:27:18.760]  . [SPEAKER_TURN]
[00:27:18.760 --> 00:27:19.080]   I
[00:27:19.080 --> 00:27:19.080]   mean
[00:27:19.080 --> 00:27:19.140]   I
[00:27:19.140 --> 00:27:19.420]   I
[00:27:19.420 --> 00:27:19.650]   mention
[00:27:19.650 --> 00:27:19.780]   it
[00:27:19.780 --> 00:27:20.260]   because
[00:27:20.260 --> 00:27:20.550]   there
[00:27:20.550 --> 00:27:20.740]   was
[00:27:20.740 --> 00:27:20.870]   an
[00:27:20.870 --> 00:27:21.580]   interesting
[00:27:21.580 --> 00:27:21.710]   um
[00:27:21.710 --> 00:27:22.220]   thing
[00:27:22.220 --> 00:27:22.290]   that
[00:27:22.290 --> 00:27:22.410]  's
[00:27:22.410 --> 00:27:22.540]   in
[00:27:22.540 --> 00:27:22.670]   on
[00:27:22.670 --> 00:27:23.060]   Hacker
[00:27:23.060 --> 00:27:23.380]   News
[00:27:23.380 --> 00:27:23.450]   um
[00:27:23.450 --> 00:27:23.710]   are
[00:27:23.710 --> 00:27:23.900]   your
[00:27:23.900 --> 00:27:24.660]   programmers
[00:27:24.660 --> 00:27:25.070]   working
[00:27:25.070 --> 00:27:25.350]   hard
[00:27:25.350 --> 00:27:25.450]   or
[00:27:25.450 --> 00:27:25.640]   are
[00:27:25.640 --> 00:27:25.900]   they
[00:27:25.900 --> 00:27:26.160]   lazy
[00:27:26.160 --> 00:27:26.350]  ?
[00:27:26.350 --> 00:27:26.540]   Did
[00:27:26.540 --> 00:27:26.730]   you
[00:27:26.730 --> 00:27:26.900]   see
[00:27:26.900 --> 00:27:27.180]   that
[00:27:27.180 --> 00:27:27.370]   one
[00:27:27.370 --> 00:27:28.200]  ? [SPEAKER_TURN]
[00:27:28.200 --> 00:27:28.240]   I
[00:27:28.240 --> 00:27:28.430]   didn
[00:27:28.430 --> 00:27:28.520]  't
[00:27:28.520 --> 00:27:28.710]   read
[00:27:28.710 --> 00:27:28.800]   it
[00:27:28.800 --> 00:27:29.030]   but
[00:27:29.030 --> 00:27:29.030]  ,
[00:27:29.030 --> 00:27:29.070]   I
[00:27:29.070 --> 00:27:29.260]   knew
[00:27:29.260 --> 00:27:29.400]   you
[00:27:29.400 --> 00:27:29.490]  'd
[00:27:29.490 --> 00:27:29.730]   bring
[00:27:29.730 --> 00:27:29.820]   it
[00:27:29.820 --> 00:27:29.910]   up
[00:27:29.910 --> 00:27:30.520]  . [SPEAKER_TURN]
[00:27:30.940 --> 00:27:31.000]  
[00:27:31.000 --> 00:27:31.190]   Yeah
[00:27:31.190 --> 00:27:31.250]   I
[00:27:31.250 --> 00:27:31.370]  ,
[00:27:31.370 --> 00:27:31.620]   mean
[00:27:31.620 --> 00:27:31.970]  ,
[00:27:31.970 --> 00:27:31.990]   well
[00:27:31.990 --> 00:27:32.110]   it
[00:27:32.110 --> 00:27:32.230]  's
[00:27:32.230 --> 00:27:32.350]   it
[00:27:32.350 --> 00:27:32.570]  's
[00:27:32.570 --> 00:27:32.740]   just
[00:27:32.740 --> 00:27:32.840]   it
[00:27:32.840 --> 00:27:32.970]  's
[00:27:32.970 --> 00:27:33.080]   it
[00:27:33.080 --> 00:27:33.200]   it
[00:27:33.200 --> 00:27:33.260]   I
[00:27:33.260 --> 00:27:33.510]   mean
[00:27:33.510 --> 00:27:33.570]   I
[00:27:33.570 --> 00:27:33.770]  've
[00:27:33.770 --> 00:27:33.930]   you
[00:27:33.930 --> 00:27:34.180]   know
[00:27:34.180 --> 00:27:34.740]   mentioned
[00:27:34.740 --> 00:27:35.150]   this
[00:27:35.150 --> 00:27:35.360]   before
[00:27:35.360 --> 00:27:35.480]   it
[00:27:35.480 --> 00:27:35.610]  's
[00:27:35.610 --> 00:27:35.850]   like
[00:27:35.850 --> 00:27:36.100]   with
[00:27:36.100 --> 00:27:36.790]   programming
[00:27:36.790 --> 00:27:36.910]   it
[00:27:36.910 --> 00:27:37.040]  's
[00:27:37.040 --> 00:27:37.570]   just
[00:27:37.570 --> 00:27:37.840]   different
[00:27:37.840 --> 00:27:37.960]   uh
[00:27:37.960 --> 00:27:38.210]   like
[00:27:38.210 --> 00:27:38.390]   the
[00:27:38.390 --> 00:27:39.200]   basically
[00:27:39.200 --> 00:27:39.250]   what
[00:27:39.250 --> 00:27:39.380]   the
[00:27:39.380 --> 00:27:39.830]   article
[00:27:39.830 --> 00:27:40.090]   says
[00:27:40.090 --> 00:27:40.190]   is
[00:27:40.190 --> 00:27:40.310]   he
[00:27:40.310 --> 00:27:40.560]   said
[00:27:40.560 --> 00:27:40.870]   there
[00:27:40.870 --> 00:27:41.050]   was
[00:27:41.050 --> 00:27:41.230]   two
[00:27:41.230 --> 00:27:41.290]   t
[00:27:41.290 --> 00:27:41.600]   there
[00:27:41.600 --> 00:27:41.780]   was
[00:27:41.780 --> 00:27:41.960]   two
[00:27:41.960 --> 00:27:42.260]   teams
[00:27:42.260 --> 00:27:42.820]   working
[00:27:42.820 --> 00:27:42.830]   on
[00:27:42.830 --> 00:27:42.890]   a
[00:27:42.890 --> 00:27:43.330]   digital
[00:27:43.330 --> 00:27:43.390]   T
[00:27:43.390 --> 00:27:43.450]  _
[00:27:43.450 --> 00:27:43.550]  V
[00:27:43.550 --> 00:27:43.570]  _
[00:27:43.570 --> 00:27:44.070]   solution
[00:27:44.070 --> 00:27:44.190]  ,
[00:27:44.190 --> 00:27:44.370]   one
[00:27:44.370 --> 00:27:44.550]   was
[00:27:44.550 --> 00:27:44.990]   working
[00:27:44.990 --> 00:27:45.110]   on
[00:27:45.110 --> 00:27:45.290]   the
[00:27:45.290 --> 00:27:45.790]   analogue
[00:27:45.790 --> 00:27:45.980]   and
[00:27:45.980 --> 00:27:46.150]   one
[00:27:46.150 --> 00:27:46.330]   was
[00:27:46.330 --> 00:27:46.770]   working
[00:27:46.770 --> 00:27:46.890]   on
[00:27:46.890 --> 00:27:47.070]   the
[00:27:47.070 --> 00:27:47.510]   digital
[00:27:47.510 --> 00:27:48.250]  .
[00:27:48.250 --> 00:27:48.350]   The
[00:27:48.350 --> 00:27:48.640]   guys
[00:27:48.640 --> 00:27:48.770]   the
[00:27:48.770 --> 00:27:49.020]   guys
[00:27:49.020 --> 00:27:49.210]   who
[00:27:49.210 --> 00:27:49.590]   worked
[00:27:49.590 --> 00:27:49.710]   on
[00:27:49.710 --> 00:27:49.900]   the
[00:27:49.900 --> 00:27:50.090]   ann
[00:27:50.090 --> 00:27:50.150]  i
[00:27:50.150 --> 00:27:50.270]   uh
[00:27:50.270 --> 00:27:50.330]   I
[00:27:50.330 --> 00:27:50.680]   think
[00:27:50.680 --> 00:27:50.770]   it
[00:27:50.770 --> 00:27:51.100]   was
[00:27:51.100 --> 00:27:51.150]   the
[00:27:51.150 --> 00:27:51.660]   analogue
[00:27:51.660 --> 00:27:52.290]   solution
[00:27:52.290 --> 00:27:52.400]   of
[00:27:52.400 --> 00:27:52.500]   the
[00:27:52.500 --> 00:27:52.920]   digital
[00:27:52.920 --> 00:27:53.490]   whichever
[00:27:53.490 --> 00:27:53.670]   way
[00:27:53.670 --> 00:27:54.060]   around
[00:27:54.060 --> 00:27:54.440]   anyway
[00:27:54.440 --> 00:27:54.690]   they
[00:27:54.690 --> 00:27:54.810]  ,
[00:27:54.810 --> 00:27:55.060]   were
[00:27:55.060 --> 00:27:55.300]   like
